sample_id,video_path,gloss_path,text_path,signer_id
--7E2sU6zP4_10,--7E2sU6zP4_10-5-rgb_front.mp4,gloss_tokens/--7E2sU6zP4_10.npy,text_tokens/--7E2sU6zP4_10.npy,0
--7E2sU6zP4_11,--7E2sU6zP4_11-5-rgb_front.mp4,gloss_tokens/--7E2sU6zP4_11.npy,text_tokens/--7E2sU6zP4_11.npy,0
--7E2sU6zP4_12,--7E2sU6zP4_12-5-rgb_front.mp4,gloss_tokens/--7E2sU6zP4_12.npy,text_tokens/--7E2sU6zP4_12.npy,0
--7E2sU6zP4_13,--7E2sU6zP4_13-5-rgb_front.mp4,gloss_tokens/--7E2sU6zP4_13.npy,text_tokens/--7E2sU6zP4_13.npy,0
--7E2sU6zP4_5,--7E2sU6zP4_5-5-rgb_front.mp4,gloss_tokens/--7E2sU6zP4_5.npy,text_tokens/--7E2sU6zP4_5.npy,0
--7E2sU6zP4_6,--7E2sU6zP4_6-5-rgb_front.mp4,gloss_tokens/--7E2sU6zP4_6.npy,text_tokens/--7E2sU6zP4_6.npy,0
--7E2sU6zP4_7,--7E2sU6zP4_7-5-rgb_front.mp4,gloss_tokens/--7E2sU6zP4_7.npy,text_tokens/--7E2sU6zP4_7.npy,0
--7E2sU6zP4_8,--7E2sU6zP4_8-5-rgb_front.mp4,gloss_tokens/--7E2sU6zP4_8.npy,text_tokens/--7E2sU6zP4_8.npy,0
--7E2sU6zP4_9,--7E2sU6zP4_9-5-rgb_front.mp4,gloss_tokens/--7E2sU6zP4_9.npy,text_tokens/--7E2sU6zP4_9.npy,0
--8pSDeC-fg_0,--8pSDeC-fg_0-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_0.npy,text_tokens/--8pSDeC-fg_0.npy,0
--8pSDeC-fg_1,--8pSDeC-fg_1-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_1.npy,text_tokens/--8pSDeC-fg_1.npy,0
--8pSDeC-fg_10,--8pSDeC-fg_10-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_10.npy,text_tokens/--8pSDeC-fg_10.npy,0
--8pSDeC-fg_11,--8pSDeC-fg_11-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_11.npy,text_tokens/--8pSDeC-fg_11.npy,0
--8pSDeC-fg_12,--8pSDeC-fg_12-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_12.npy,text_tokens/--8pSDeC-fg_12.npy,0
--8pSDeC-fg_13,--8pSDeC-fg_13-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_13.npy,text_tokens/--8pSDeC-fg_13.npy,0
--8pSDeC-fg_14,--8pSDeC-fg_14-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_14.npy,text_tokens/--8pSDeC-fg_14.npy,0
--8pSDeC-fg_15,--8pSDeC-fg_15-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_15.npy,text_tokens/--8pSDeC-fg_15.npy,0
--8pSDeC-fg_16,--8pSDeC-fg_16-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_16.npy,text_tokens/--8pSDeC-fg_16.npy,0
--8pSDeC-fg_2,--8pSDeC-fg_2-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_2.npy,text_tokens/--8pSDeC-fg_2.npy,0
--8pSDeC-fg_3,--8pSDeC-fg_3-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_3.npy,text_tokens/--8pSDeC-fg_3.npy,0
--8pSDeC-fg_4,--8pSDeC-fg_4-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_4.npy,text_tokens/--8pSDeC-fg_4.npy,0
--8pSDeC-fg_5,--8pSDeC-fg_5-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_5.npy,text_tokens/--8pSDeC-fg_5.npy,0
--8pSDeC-fg_6,--8pSDeC-fg_6-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_6.npy,text_tokens/--8pSDeC-fg_6.npy,0
--8pSDeC-fg_7,--8pSDeC-fg_7-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_7.npy,text_tokens/--8pSDeC-fg_7.npy,0
--8pSDeC-fg_8,--8pSDeC-fg_8-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_8.npy,text_tokens/--8pSDeC-fg_8.npy,0
--8pSDeC-fg_9,--8pSDeC-fg_9-5-rgb_front.mp4,gloss_tokens/--8pSDeC-fg_9.npy,text_tokens/--8pSDeC-fg_9.npy,0
