Sentences,File location,gloss_sequence,signer_id
,,,6
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (6).MP4,CONGRATULATIIONS,6
it does not make any difference to me,ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\difference (3).MP4,IT MAKE ANY DIFFERENCE  ME DO NOT ,6
"you need a medicine, take this one","ISL_CSLRT_Corpus\Videos_Sentence_Level\you need a medicine, take this one\medicine (4).MP4","YOU NEED A MEDICINE, TAKE THIS ONE",6
do you need something,ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something (2).MP4,DO YOU NEED SOMETHING,6
prepare the bed,ISL_CSLRT_Corpus\Videos_Sentence_Level\prepare the bed\bed (2).MP4,PREPARE BED,6
,,,6
you are good,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are good\good (2).MP4,YOU GOOD,6
shall we go outside,ISL_CSLRT_Corpus\Videos_Sentence_Level\shall we go outside\outside (3).MP4,OUTSIDE GO ,6
go and sleep,ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (6).MP4,GO SLEEP,6
,,,6
i like you i love you,ISL_CSLRT_Corpus\Videos_Sentence_Level\i like you i love you\MVI_6814.MP4,,6
,,,6
,,,6
how can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (7).MP4, I HELP YOU HOW,6
are you hiding something,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6507.MP4,YOU HIDE SOMETHING,6
,,,6
i am not really sure,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\MVI_6546.MP4,I  REALLY NOT SURE,6
,,,6
turn on light turn off light,ISL_CSLRT_Corpus\Videos_Sentence_Level\turn on light turn off light\turn on.MP4,,6
,,,6
,,,6
he came by train,ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (2).MP4,HE TRAIN CAME ,6
i can not help you there,ISL_CSLRT_Corpus\Videos_Sentence_Level\i can not help you there\MVI_6399.MP4,I  HELP NOT,6
you are welcome,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are welcome\welcome (4).MP4,YOU WELCOME,6
,,,6
,,,6
i am crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am crying\i am crying (5).MP4,I CRY,6
now onwards he will never hurt you,ISL_CSLRT_Corpus\Videos_Sentence_Level\now onwards he will never hurt you\never hurt (5).MP4,NOW ONWARDS HE HURT YOU NEVER ,6
,,,6
,,,6
he would be coming today,ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (4).MP4,HE COMING TODAY,6
i am tired,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am tired\tired (5).MP4,I TIRED,6
,,,6
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\MVI_6633.MP4,DONOT WORRY,6
i do not mean it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i do not mean it\mean (2).MP4,I  MEAN IT DO NOT,6
which collegeschool are you from,ISL_CSLRT_Corpus\Videos_Sentence_Level\which collegeschool are you from\school college (2).MP4,,6
why are you disappointed,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you disappointed\disappointed.MP4, YOU DISAPPOINTED WHY,6
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting.MP4,I SITTING CLASS,6
my name is xxxxxxxx,ISL_CSLRT_Corpus\Videos_Sentence_Level\my name is xxxxxxxx\my name is xxxxxxxx (1).MP4,MY NAME XXXXXXXX,6
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (2).MP4,DO  FAVOUR ME,6
what are you doing,ISL_CSLRT_Corpus\Videos_Sentence_Level\what are you doing\what are you doing (5).MP4, YOU DO WHAT,6
why are you crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you crying\crying (4).MP4, YOU CRY WHY,6
i somehow got to know about it,ISL_CSLRT_Corpus\Videos_Sentence_Level\i somehow got to know about it\somehow.MP4,I SOMEHOW GOT KNOW ABOUT IT,6
i got hurt,ISL_CSLRT_Corpus\Videos_Sentence_Level\i got hurt\got hurt (4).MP4,I GOT HURT,6
help me,ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (8).MP4,HELP ME,6
,,,6
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoy.MP4,I ENJOYED A LOT,6
what do you do,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you do\what do you do (1).MP4,YOU DO WHAT ,6
do not hurt me,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me (3).MP4,,6
