Sentences,File location,gloss_sequence,signer_id
are you hiding something,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6507.MP4,YOU HIDE SOMETHING,6
bring water for me,ISL_CSLRT_Corpus\Videos_Sentence_Level\bring water for me\bring water for me (5).MP4,BRING WATER ME,6
can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\can i help you\help.MP4,I HELP YOU,6
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (3).MP4,COMB YOU HAIR,6
congratulations,ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (6).MP4,CONGRATULATIIONS,6
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (2).MP4,DO  FAVOUR ME,6
do not abuse him,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (4).MP4, HIM ABUSE DONOT,6
do not hurt me,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me (3).MP4,,6
do not make me angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (5).MP4,YOU ANGRY DONOT,6
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\MVI_6633.MP4,DONOT WORRY,6
do you need something,ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something (2).MP4,DO YOU NEED SOMETHING,6
go and sleep,ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (6).MP4,GO SLEEP,6
he came by train,ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (2).MP4,HE TRAIN CAME ,6
He is going into the room,ISL_CSLRT_Corpus\Videos_Sentence_Level\He is going into the room\room (3).MP4,HE ROOM  GO  ,6
he she is my friend,ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend (2).MP4,YOU MY FRIEND,6
he would be coming today,ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (4).MP4,HE COMING TODAY,6
help me,ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (8).MP4,HELP ME,6
how are things,ISL_CSLRT_Corpus\Videos_Sentence_Level\how are things\things (3).MP4, THINGS HOW,6
how can i help you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i help you\how can i help you (7).MP4, I HELP YOU HOW,6
how dare you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how dare you\dare (3).MP4, DARE YOU HOW,6
how old are you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how old are you\how old are you (6).MP4,HOW OLD YOU,6
i am afraid of that,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am afraid of that\afraid (2).MP4,I AFRAID THAT,6
i am crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am crying\i am crying (5).MP4,I CRY,6
i am feeling bored,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am feeling bored\bored.MP4,I FEEL BORED,6
i am fine. thank you sir,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am fine. thank you sir\fine thank (3).MP4,I FINE THANK YOU ,6
i am hungry,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am hungry\i am hungry   (6).MP4,I HUNGRY,6
i am not really sure,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am not really sure\MVI_6546.MP4,I  REALLY NOT SURE,6
i am really grateful,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am really grateful\MVI_6539.MP4,I REALLY GRATEFUL,6
