sample_id,video_path,gloss_path,text_path,signer_id
11August_2010_Wednesday_tagesschau-1,11August_2010_Wednesday_tagesschau-1.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-1.npy,text_tokens/11August_2010_Wednesday_tagesschau-1.npy,8
11August_2010_Wednesday_tagesschau-4,11August_2010_Wednesday_tagesschau-4.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-4.npy,text_tokens/11August_2010_Wednesday_tagesschau-4.npy,8
11August_2010_Wednesday_tagesschau-5,11August_2010_Wednesday_tagesschau-5.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-5.npy,text_tokens/11August_2010_Wednesday_tagesschau-5.npy,8
11August_2010_Wednesday_tagesschau-6,11August_2010_Wednesday_tagesschau-6.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-6.npy,text_tokens/11August_2010_Wednesday_tagesschau-6.npy,8
11August_2010_Wednesday_tagesschau-7,11August_2010_Wednesday_tagesschau-7.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-7.npy,text_tokens/11August_2010_Wednesday_tagesschau-7.npy,8
11August_2010_Wednesday_tagesschau-9,11August_2010_Wednesday_tagesschau-9.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-9.npy,text_tokens/11August_2010_Wednesday_tagesschau-9.npy,8
11August_2010_Wednesday_tagesschau-10,11August_2010_Wednesday_tagesschau-10.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-10.npy,text_tokens/11August_2010_Wednesday_tagesschau-10.npy,8
11August_2010_Wednesday_tagesschau-11,11August_2010_Wednesday_tagesschau-11.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-11.npy,text_tokens/11August_2010_Wednesday_tagesschau-11.npy,8
11August_2010_Wednesday_tagesschau-12,11August_2010_Wednesday_tagesschau-12.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-12.npy,text_tokens/11August_2010_Wednesday_tagesschau-12.npy,8
11August_2010_Wednesday_tagesschau-13,11August_2010_Wednesday_tagesschau-13.mp4,gloss_tokens/11August_2010_Wednesday_tagesschau-13.npy,text_tokens/11August_2010_Wednesday_tagesschau-13.npy,8
25October_2010_Monday_tagesschau-14,25October_2010_Monday_tagesschau-14.mp4,gloss_tokens/25October_2010_Monday_tagesschau-14.npy,text_tokens/25October_2010_Monday_tagesschau-14.npy,1
25October_2010_Monday_tagesschau-15,25October_2010_Monday_tagesschau-15.mp4,gloss_tokens/25October_2010_Monday_tagesschau-15.npy,text_tokens/25October_2010_Monday_tagesschau-15.npy,1
25October_2010_Monday_tagesschau-16,25October_2010_Monday_tagesschau-16.mp4,gloss_tokens/25October_2010_Monday_tagesschau-16.npy,text_tokens/25October_2010_Monday_tagesschau-16.npy,1
25October_2010_Monday_tagesschau-18,25October_2010_Monday_tagesschau-18.mp4,gloss_tokens/25October_2010_Monday_tagesschau-18.npy,text_tokens/25October_2010_Monday_tagesschau-18.npy,1
25October_2010_Monday_tagesschau-19,25October_2010_Monday_tagesschau-19.mp4,gloss_tokens/25October_2010_Monday_tagesschau-19.npy,text_tokens/25October_2010_Monday_tagesschau-19.npy,1
25October_2010_Monday_tagesschau-20,25October_2010_Monday_tagesschau-20.mp4,gloss_tokens/25October_2010_Monday_tagesschau-20.npy,text_tokens/25October_2010_Monday_tagesschau-20.npy,1
25October_2010_Monday_tagesschau-21,25October_2010_Monday_tagesschau-21.mp4,gloss_tokens/25October_2010_Monday_tagesschau-21.npy,text_tokens/25October_2010_Monday_tagesschau-21.npy,1
